Name,Latitude,Longitude,TOT_P
Kalas-Dhanori,18.594108245503200,73.88878015396080,269
Nagpur Chawl-Phule Nagar,18.566193601710200,73.88618059827000,270
Viman Nagar-Somnath Nagar,18.575056455583600,73.91729289678020,264
Kharadi-Chandan Nagar,18.555987850818100,73.942091598827,263
Vadagaon Sheri-Kalyani Nagar,18.547839137593400,73.91323545977890,249
Yerawada,18.54863870555380,73.87995814606890,271
Savitribai Fule University-Wakadewadi,18.541670675420400,73.83653101544710,271
Aundh-Bopodi,18.559631264458800,73.8183126506077,270
Baner_Balevadi-Pashan,18.548271383519600,73.7845867945918,271
Bavdhan-Kothrud Depo,18.505419131996900,73.78310599579820,266
Rambaug Colony-Shiv Tirtha Nagar,18.516756800036600,73.81138257343950,249
Mayur Colony-Dhanukar Colony,18.501767956865800,73.81085029540500,240
Erandwana-Happy Colony,18.502078031967800,73.8270439325603,223
Deccan Gymkhana-Model Colony,18.524896115388700,73.8403263509314,271
Shanivar Peth-Sadashiv Peth,18.512901275710400,73.85209001020070,233
Kasba Peth-Somwar Peth,18.522980411223000,73.86181954079770,225
Rasta Peth-Raviwar Peth,18.515277509159900,73.86309321368140,224
Khadakmal Aali-Mahatma Phule Peth,18.50658678756040,73.86235196935160,228
Lohiya Nagar-Kasewadi,18.50565233881770,73.8701637506484,225
Tadiwala Road-Sasoon Hospital,18.526538951985300,73.87089314696630,227
Koregaon Park-Ghorpadi,18.529091187189500,73.90070875776790,269
Mundhwa-Magarpatta City,18.517302874484200,73.9319189907173,271
Hadapsar Gaothan-Satavwadi,18.49298434561150,73.93985093888990,261
Ramtekdi Sayyad Nagar,18.49059492551610,73.91994101672010,202
Wanwadi,18.497005873617900,73.90366156636690,224
Mohammadwadi-Kausar Baug,18.472430985856900,73.91719556340420,260
Kondhwa Khurd-Meetha Nagar,18.474482589714900,73.88339800667050,227
Salisbury Park-Maharshi Nagar,18.491582331918800,73.87101289254000,235
Navi Peth-Parvati,18.50230413560030,73.84808447576440,226
Janata Vasahat-Dattawadi,18.494774039206200,73.83882410841510,223
Karve Nagar,18.485854366229700,73.81410193247520,246
Warje-Malwadi,18.48460979345170,73.79221658456500,248
Vadgaon Dhayari-Vadgaon Budruk,18.476369070493600,73.82931562698320,243
Suncity-Hingane Khurd,18.459537752420500,73.81309679406460,246
Sahakar Nagar-Padmavati,18.48146841253510,73.84995402418460,270
Marketyard-Lower Indira Nagar,18.47789697471290,73.8660120848187,230
Upper Super Indira Nagar,18.4659110936278,73.87074821641010,175
Balaji Nagar-Rajiv Gandhi Garden,18.450717859066800,73.86500273107980,242
Dhanakvadi-Ambegaon Pathar,18.46328842731820,73.84999560504350,232
Ambegaon Dattanagar-Katraj Gaothan,18.450409027161600,73.85293174851100,237
Kondhwa Budurk-Yewalewadi,18.4406147054098,73.88830019303000,225
